Model,Views,SPLIT,N,AUROC,AUPRC,ACCURACY,F1,RECALL,PRECISION,SPECIFICITY
CVFSNet,Coronal,val,150,0.916,0.892,0.887,0.887,0.914,0.853,0.863
CVFSNet,Sagittal,val,150,0.890,0.859,0.833,0.833,0.829,0.817,0.838
CVFSNet,Fusion,val,150,0.928,0.905,0.907,0.907,0.929,0.878,0.887
MedGemma QLoRA,Coronal,val,150,0.804,0.779,0.693,0.692,0.814,0.633,0.588
MedGemma QLoRA,Sagittal,val,150,0.845,0.852,0.773,0.773,0.800,0.737,0.750
MedGemma QLoRA,Dual,val,150,0.857,0.840,0.767,0.767,0.800,0.727,0.738
MedGemma zero-shot,Dual (concise_v2),tuning,53,0.403,0.451,0.453,0.440,0.296,0.444,0.615
MedGemma zero-shot,Dual (clinical_v1),tuning,53,0.530,0.533,0.528,0.379,1.000,0.519,0.038
VideoMAE,AP,val,150,0.925,0.912,0.827,0.826,0.971,0.739,0.700
VideoMAE,Sagittal,val,150,0.845,0.779,0.780,0.779,0.900,0.708,0.675
VideoMAE,Dual,val,150,0.895,0.834,0.853,0.853,0.971,0.773,0.750
